Number,Top_positive,Breaking_rank,R@1,R@5,R@10,Med r,Mean r
0,3,1,41.9512,63.3171,71.5122,2.0,103.7854
1,3,1,45.2683,60.2927,67.4146,2.0,132.2137
2,3,1,46.2439,59.5122,64.9756,2.0,181.0878
0,3,5,41.9512,63.3171,71.5122,2.0,103.7854
1,3,5,41.9512,64.9756,70.0488,2.0,131.0566
2,3,5,41.9512,65.1707,68.7805,2.0,177.4976
0,3,10,41.9512,63.3171,71.5122,2.0,103.7854
1,3,10,41.9512,63.9024,74.439,2.0,129.042
2,3,10,41.9512,63.9024,74.6341,2.0,170.6585
0,3,15,41.9512,63.3171,71.5122,2.0,103.7854
1,3,15,41.9512,63.4146,72.9756,2.0,127.6156
2,3,15,41.9512,63.4146,72.9756,2.0,166.8478
0,5,1,41.9512,63.3171,71.5122,2.0,103.7854
1,5,1,45.2683,62.8293,68.1951,3.0,131.5678
2,5,1,46.5366,61.4634,66.7317,2.0,179.7102
0,5,5,41.9512,63.3171,71.5122,2.0,103.7854
1,5,5,41.9512,64.1951,68.4878,2.0,131.4244
2,5,5,41.9512,64.3902,68.0,2.0,178.7737
0,5,10,41.9512,63.3171,71.5122,2.0,103.7854
1,5,10,41.9512,63.6098,73.2683,2.0,129.4371
2,5,10,41.9512,63.6098,73.7561,2.0,172.4439
0,5,15,41.9512,63.3171,71.5122,2.0,103.7854
1,5,15,41.9512,63.5122,72.3902,2.0,127.7678
2,5,15,41.9512,63.5122,72.3902,2.0,166.7502
0,10,1,41.9512,63.3171,71.5122,2.0,103.7854
1,10,1,45.2683,58.6341,67.8049,3.0,125.9024
2,10,1,47.0244,57.0732,64.6829,3.0,171.4156
0,10,5,41.9512,63.3171,71.5122,2.0,103.7854
1,10,5,41.9512,65.9512,70.2439,2.0,125.1327
2,10,5,41.9512,67.122,69.9512,2.0,167.4937
0,10,10,41.9512,63.3171,71.5122,2.0,103.7854
1,10,10,41.9512,63.4146,73.0732,2.0,124.7668
2,10,10,41.9512,63.4146,73.561,2.0,164.3073
0,10,15,41.9512,63.3171,71.5122,2.0,103.7854
1,10,15,41.9512,63.3171,72.1951,2.0,122.9161
2,10,15,41.9512,63.3171,72.1951,2.0,157.7512
0,15,1,41.9512,63.3171,71.5122,2.0,103.7854
1,15,1,45.7561,58.2439,67.2195,3.0,122.6966
2,15,1,46.9268,55.3171,63.0244,3.0,169.7395
0,15,5,41.9512,63.3171,71.5122,2.0,103.7854
1,15,5,42.0488,66.2439,71.122,2.0,121.6244
2,15,5,42.0488,66.7317,70.1463,2.0,164.7132
0,15,10,41.9512,63.3171,71.5122,2.0,103.7854
1,15,10,42.0488,64.0,74.3415,2.0,120.6371
2,15,10,42.0488,64.0,74.7317,2.0,157.9941
0,15,15,41.9512,63.3171,71.5122,2.0,103.7854
1,15,15,41.9512,63.5122,72.2927,2.0,120.0254
2,15,15,41.9512,63.5122,72.2927,2.0,154.8127
